100x100,4,2,8270,3372,3314,2.45255,2.49547,YES,YES
100x100,4,4,7717,3305,3344,2.33495,2.30772,YES,YES
100x100,4,8,7977,3270,3313,2.43945,2.40779,YES,YES
100x100,4,16,8034,2589,2348,3.10313,3.42164,YES,YES
100x100,4,32,7586,2726,2691,2.78283,2.81903,YES,YES
100x100,4,64,7607,3186,3174,2.38763,2.39666,YES,YES
100x100,4,128,7993,7774,7776,1.02817,1.02791,YES,YES
200x200,8,2,62106,15033,19203,4.13131,3.23418,YES,YES
200x200,8,4,61747,15757,17515,3.9187,3.52538,YES,YES
200x200,8,8,63163,16381,17158,3.85587,3.68126,YES,YES
200x200,8,16,60905,15283,16686,3.98515,3.65007,YES,YES
200x200,8,32,62665,15304,16102,4.09468,3.89175,YES,YES
200x200,8,64,63953,15144,19885,4.22299,3.21614,YES,YES
200x200,8,128,61103,25304,25236,2.41476,2.42126,YES,YES
500x500,8,2,963136,229431,221075,4.19793,4.3566,YES,YES
500x500,8,4,963803,222975,219938,4.32247,4.38216,YES,YES
500x500,8,8,985175,215577,217359,4.56994,4.53248,YES,YES
500x500,8,16,986569,268318,283608,3.67686,3.47864,YES,YES
500x500,8,32,982476,225214,230403,4.36241,4.26416,YES,YES
500x500,8,64,1017995,222898,219989,4.56709,4.62748,YES,YES
500x500,8,128,1008547,222644,220132,4.52986,4.58156,YES,YES
